close_date,amount_gbp,outcome,description,client_domain
2025-01-09,6200,won,"Landing page CRO sprint for spring campaign",lumenfoods.co.uk
2025-01-14,14500,lost,"Brand strategy + visual identity refresh",northstar-logistics.com
2025-01-20,9800,won,"Paid social setup and first month management",elevatefitness.io
2025-01-28,23000,won,"Website redesign and Webflow implementation",harborlegal.co.uk
2025-02-03,4200,lost,"Email nurture audit and automation roadmap",brightnesthomes.com
2025-02-07,18000,won,"Quarterly SEO retainer for UK market expansion",helixbiotech.ai
2025-02-11,7600,won,"Product demo video + motion graphics package",cobaltsecurity.com
2025-02-19,12500,lost,"HubSpot migration and CRM pipeline rebuild",meridianstaffing.co.uk
2025-02-24,5400,won,"Conversion copywriting for 12 core pages",vantagewealth.co
2025-03-01,31500,won,"Full-funnel demand gen pilot (90 days)",opalcloud.dev
2025-03-04,8900,lost,"LinkedIn outbound messaging + ICP workshop",riversidecapital.com
2025-03-10,6700,won,"Analytics implementation and dashboarding",kindredhealthgroup.co.uk
2025-03-15,15400,lost,"B2B rebrand including naming exploration",craftgrid.io
2025-03-18,11200,won,"Technical SEO cleanup and site speed project",atlasinsure.com
2025-03-27,4800,won,"Ad creative testing sprint (Meta + TikTok)",pawprintpetcare.co.uk
2025-04-02,20100,won,"Sales enablement collateral + case studies",asteraenergy.com
2025-04-08,7300,lost,"Marketing automation cleanup and lead scoring",forgeaccounting.co.uk
2025-04-14,9600,won,"Performance landing pages for three offerings",seabrighttravel.com
2025-04-21,27500,won,"Fractional growth team retainer (3 months)",nextwavepayments.io
2025-04-30,6900,lost,"Podcast launch package with distribution setup",hinterland.media
2025-05-05,11800,won,"Ecommerce email lifecycle buildout",wildgrocer.co.uk
2025-05-13,16750,won,"ABM campaign strategy + SDR handoff process",borealisdata.com
2025-05-19,5250,lost,"Homepage messaging rewrite and UX recommendations",vertexmobility.ai
2025-05-27,14100,won,"GA4 remediation and attribution model refresh",summiteducation.org
2025-06-03,8300,won,"Monthly content engine kickoff (SEO articles)",oakandemberinteriors.com
